Модель & Марка,Год,КПП,Двигатель,Кузов,Пробег,Цена,Ссылка
Alfa Romeo 156 932 · Рестайлинг,2003 г.,механика,1.7 л бензин,седан,350 000 км,≈ 3 850 $,https://cars.av.by/alfa-romeo/156/105753695
Alfa Romeo 156 932,1999 г.,механика,2.0 л бензин,седан,320 000 км,≈ 850 $,https://cars.av.by/alfa-romeo/156/104955346
Alfa Romeo 156 932,1998 г.,механика,1.7 л бензин,седан,300 000 км,≈ 1000 $,https://cars.av.by/alfa-romeo/156/105698134
Alfa Romeo Giulia,2016 г.,автомат,2.2 л дизель,седан,167 000 км,≈ 22 900 $,https://cars.av.by/alfa-romeo/giulia/104519118
Alfa Romeo Stelvio,2018 г.,автомат,2.0 л бензин,внедорожник 5 дв.,45 000 км,≈ 28 500 $,https://cars.av.by/alfa-romeo/stelvio/104661405
Alfa Romeo 147 I,2001 г.,механика,1.6 л бензин (пропан-бутан),хэтчбек 3 дв.,412 000 км,≈ 1800 $,https://cars.av.by/alfa-romeo/147/102065689
Alfa Romeo 156 932 · 2-й рестайлинг,2003 г.,механика,1.9 л дизель,универсал,495 000 км,≈ 5 000 $,https://cars.av.by/alfa-romeo/156/105719732
Alfa Romeo 146,1999 г.,механика,1.4 л бензин,седан,438 600 км,≈ 400 $,https://cars.av.by/alfa-romeo/146/105446407
Alfa Romeo 156 932,1999 г.,механика,1.9 л дизель,седан,370 000 км,≈ 3 400 $,https://cars.av.by/alfa-romeo/156/105720979
Alfa Romeo 156 932,1999 г.,механика,1.9 л дизель,седан,300 000 км,≈ 2 800 $,https://cars.av.by/alfa-romeo/156/104805293
Alfa Romeo Giulia,2021 г.,автомат,2.0 л бензин,седан,12 000 км,≈ 29 500 $,https://cars.av.by/alfa-romeo/giulia/105507459
Alfa Romeo 166 936,2000 г.,механика,2.5 л бензин,седан,144 000 км,≈ 5 100 $,https://cars.av.by/alfa-romeo/166/105527966
Alfa Romeo 156 932,1998 г.,механика,1.6 л бензин,седан,390 000 км,≈ 2 000 $,https://cars.av.by/alfa-romeo/156/100798242
Alfa Romeo Giulia,2018 г.,автомат,2.0 л бензин,седан,105 573 км,≈ 25 000 $,https://cars.av.by/alfa-romeo/giulia/105629857
Alfa Romeo 156 932,2001 г.,механика,1.9 л дизель,седан,440 000 км,≈ 1950 $,https://cars.av.by/alfa-romeo/156/105728400
Alfa Romeo Giulia,2018 г.,автомат,2.0 л бензин,седан,32 000 км,≈ 23 900 $,https://cars.av.by/alfa-romeo/giulia/102487458
Alfa Romeo 146,1998 г.,механика,1.6 л бензин,седан,352 000 км,≈ 2 602 $,https://cars.av.by/alfa-romeo/146/105053633
Alfa Romeo Giulia,2018 г.,автомат,2.0 л бензин,седан,19 600 км,≈ 31 000 $,https://cars.av.by/alfa-romeo/giulia/104188900
Alfa Romeo Stelvio,2017 г.,автомат,2.0 л бензин,внедорожник 5 дв.,68 538 км,≈ 29 900 $,https://cars.av.by/alfa-romeo/stelvio/100892974
Alfa Romeo Stelvio,2017 г.,автомат,2.0 л бензин,внедорожник 5 дв.,64 163 км,≈ 29 600 $,https://cars.av.by/alfa-romeo/stelvio/104621896
Alfa Romeo Giulia,2017 г.,автомат,2.0 л бензин,седан,123 000 км,≈ 25 550 $,https://cars.av.by/alfa-romeo/giulia/104756074
Alfa Romeo 156 932 · 2-й рестайлинг,2004 г.,механика,1.7 л бензин,седан,157 000 км,≈ 5 000 $,https://cars.av.by/alfa-romeo/156/102590644
Alfa Romeo Giulia,2017 г.,автомат,2.0 л бензин,седан,69 300 км,≈ 24 800 $,https://cars.av.by/alfa-romeo/giulia/105059852
Alfa Romeo Giulia,2018 г.,автомат,2.0 л бензин,седан,84 900 км,≈ 24 500 $,https://cars.av.by/alfa-romeo/giulia/105721243
Alfa Romeo Giulia,2020 г.,автомат,2.0 л бензин,седан,30 000 км,≈ 16 000 $,https://cars.av.by/alfa-romeo/giulia/105571970
Alfa Romeo 146,2000 г.,механика,1.4 л бензин,седан,235 000 км,≈ 2 100 $,https://cars.av.by/alfa-romeo/146/105606304
Alfa Romeo Stelvio,2019 г.,автомат,2.0 л бензин,внедорожник 5 дв.,37 500 км,≈ 35 800 $,https://cars.av.by/alfa-romeo/stelvio/105738754
Alfa Romeo 156 932,1999 г.,механика,1.6 л бензин,седан,290 000 км,≈ 900 $,https://cars.av.by/alfa-romeo/156/105738299
Alfa Romeo 147 I · Рестайлинг,2007 г.,механика,1.6 л бензин,хэтчбек 5 дв.,246 000 км,≈ 4 400 $,https://cars.av.by/alfa-romeo/147/104360031
Alfa Romeo 156 932,1999 г.,робот,2.0 л бензин,седан,480 000 км,≈ 1200 $,https://cars.av.by/alfa-romeo/156/104397763
Alfa Romeo Stelvio,2018 г.,автомат,2.1 л дизель,внедорожник 5 дв.,92 000 км,≈ 27 500 $,https://cars.av.by/alfa-romeo/stelvio/105275150
Alfa Romeo 156 932,1999 г.,механика,2.0 л бензин,седан,280 000 км,≈ 2 750 $,https://cars.av.by/alfa-romeo/156/105605342
Alfa Romeo Stelvio,2019 г.,автомат,2.0 л бензин,внедорожник 5 дв.,75 000 км,≈ 26 900 $,https://cars.av.by/alfa-romeo/stelvio/105740271
Alfa Romeo Giulia,2021 г.,автомат,2.0 л бензин,седан,21 200 км,≈ 29 500 $,https://cars.av.by/alfa-romeo/giulia/101303299
Alfa Romeo Giulia,2021 г.,автомат,2.0 л бензин,седан,15 000 км,≈ 30 500 $,https://cars.av.by/alfa-romeo/giulia/104763992
Alfa Romeo Stelvio,2020 г.,автомат,2.0 л бензин,внедорожник 5 дв.,15 000 км,≈ 36 200 $,https://cars.av.by/alfa-romeo/stelvio/100912855
Alfa Romeo 164 I · Рестайлинг,1994 г.,механика,2.0 л бензин,седан,380 000 км,≈ 500 $,https://cars.av.by/alfa-romeo/164/105719838
Alfa Romeo Stelvio,2019 г.,автомат,2.0 л бензин,внедорожник 5 дв.,50 000 км,≈ 14 600 $,https://cars.av.by/alfa-romeo/stelvio/105466875
Alfa Romeo 145 930,1995 г.,механика,1.9 л дизель,хэтчбек 3 дв.,476 000 км,≈ 700 $,https://cars.av.by/alfa-romeo/145/105554946
Alfa Romeo Giulia,2018 г.,автомат,2.2 л дизель,седан,92 000 км,≈ 22 777 $,https://cars.av.by/alfa-romeo/giulia/105721334
Alfa Romeo 156 932,2000 г.,механика,2.4 л дизель,седан,330 000 км,≈ 2 700 $,https://cars.av.by/alfa-romeo/156/100008631
Alfa Romeo Stelvio,2019 г.,автомат,2.1 л дизель,внедорожник 5 дв.,85 150 км,≈ 31 900 $,https://cars.av.by/alfa-romeo/stelvio/105020975
Alfa Romeo 156 932,1999 г.,механика,2.4 л дизель,седан,500 000 км,≈ 2 800 $,https://cars.av.by/alfa-romeo/156/104469194
Alfa Romeo Stelvio,2021 г.,автомат,2.0 л бензин,внедорожник 5 дв.,33 000 км,≈ 36 300 $,https://cars.av.by/alfa-romeo/stelvio/104061171
Alfa Romeo 156 932,1998 г.,механика,1.6 л бензин,седан,200 000 км,≈ 700 $,https://cars.av.by/alfa-romeo/156/105719782
Alfa Romeo 156 932,1999 г.,механика,1.7 л бензин,седан,312 924 км,≈ 1300 $,https://cars.av.by/alfa-romeo/156/100581730
Alfa Romeo 146,1999 г.,механика,1.9 л дизель,седан,403 000 км,≈ 1000 $,https://cars.av.by/alfa-romeo/146/105554948
Alfa Romeo 156 932,1999 г.,механика,1.7 л бензин,седан,250 000 км,≈ 2 500 $,https://cars.av.by/alfa-romeo/156/105503995
